Year,Type,IPO count,Proceeds
2021,1,308,99905000000 
2021,0,98,55600000000 
2020,1,248,83353000000 
2020,0,202,96000000000 
2019,1,59,13600000000 
2019,0,154,58600000000 
2018,1,46,10750000000 
2018,0,179,53100000000 
2017,1,34,10048000000 
2017,0,155,40200000000 
2016,1,13,3499000000 
2016,0,98,22300000000 
2015,1,20,3902000000 
2015,0,153,35300000000 
2014,1,12,1750000000 
2014,0,246,91300000000 
2013,1,10,1447000000 
2013,0,210,69300000000 
2012,1,9,490000000 
2012,0,138,49600000000 
2011,1,16,1110000000 
2011,0,128,42100000000 
2010,1,7,530000000 
2010,0,159,50100000000 
2009,1,1,36000000 
2009,0,69,21600000000 
2008,1,17,3842000000 
2008,0,30,26300000000 
2007,1,66,12094000000 
2007,0,233,75100000000 
2006,1,37,3384000000 
2006,0,177,52400000000 
2005,1,28,2113000000 
2005,0,224,59800000000 
2004,1,12,485000000 
2004,0,256,72400000000 
2003,1,1,24000000 
2003,0,126,49900000000 